,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
71,"frozenset({2716578, 3908011})",frozenset({3988011}),0.001305258819084258,0.00790025074708893,0.00103046748875073,0.7894736842105263,99.93020594965674,0.001020155616790115,4.712473808951328
72,"frozenset({3988011, 3908011})",frozenset({2716578}),0.0016659224401470133,0.009033764984714733,0.00103046748875073,0.6185567010309279,68.47163968484183,0.0010154179369436793,2.597938508013045
73,frozenset({2716578}),"frozenset({3988011, 3908011})",0.009033764984714733,0.0016659224401470133,0.00103046748875073,0.11406844106463877,68.47163968484183,0.0010154179369436793,1.126874945915199
74,frozenset({3988011}),"frozenset({2716578, 3908011})",0.00790025074708893,0.001305258819084258,0.00103046748875073,0.13043478260869565,99.93020594965674,0.001020155616790115,1.148498952358053
75,frozenset({3908011}),"frozenset({2716578, 3988011})",0.005616047813691478,0.0016659224401470133,0.00103046748875073,0.1834862385321101,110.1409249976355,0.0010211115886729627,1.2226788140901572
76,"frozenset({2726578, 3978011})",frozenset({3898011}),0.001442654484251022,0.014134579054030845,0.0007900250747088929,0.5476190476190476,38.74321587687322,0.0007696337608535948,2.1792814568279315
77,"frozenset({2726578, 3898011})",frozenset({3978011}),0.0013567821935217945,0.030244220794833923,0.0007900250747088929,0.5822784810126582,19.252553569246473,0.0007489902544775207,2.32153656233964
78,frozenset({3978011}),"frozenset({2726578, 3898011})",0.030244220794833923,0.0013567821935217945,0.0007900250747088929,0.02612152186257808,19.25255356924647,0.0007489902544775207,1.0254289834152817
79,frozenset({3898011}),"frozenset({2726578, 3978011})",0.014134579054030845,0.001442654484251022,0.0007900250747088929,0.05589307411907655,38.74321587687323,0.0007696337608535948,1.0576739966016233
80,"frozenset({2726578, 3998011})",frozenset({3908011}),0.0025418198055851336,0.005616047813691478,0.0014254800261051764,0.5608108108108109,99.85862467972561,0.0014112050445432224,2.2641357680549796
81,"frozenset({3998011, 3908011})",frozenset({2726578}),0.0018376670216054684,0.015697454745302784,0.0014254800261051764,0.7757009345794392,49.41571402278166,0.0013966333311965892,4.388348847593858
82,"frozenset({2726578, 3908011})",frozenset({3998011}),0.001992237144918078,0.014546766049531137,0.0014254800261051764,0.7155172413793103,49.187375320604154,0.0013964994184428672,3.4640174284319505
83,frozenset({3998011}),"frozenset({2726578, 3908011})",0.014546766049531137,0.001992237144918078,0.0014254800261051764,0.09799291617473437,49.18737532060416,0.0013964994184428672,1.10643007217049
84,frozenset({2726578}),"frozenset({3998011, 3908011})",0.015697454745302784,0.0018376670216054684,0.0014254800261051764,0.09080962800875275,49.415714022781664,0.0013966333311965892,1.0978584504720248
85,frozenset({3908011}),"frozenset({2726578, 3998011})",0.005616047813691478,0.0025418198055851336,0.0014254800261051764,0.25382262996941896,99.85862467972561,0.0014112050445432224,1.3367574791949741
86,"frozenset({3524026, 3978011})",frozenset({3898011}),0.0034864150036066363,0.014134579054030845,0.0018548414797513138,0.5320197044334976,37.63958603930113,0.0018055624712676767,2.1066387416003343
87,"frozenset({3524026, 3898011})",frozenset({3978011}),0.0024387730567100607,0.030244220794833923,0.0018548414797513138,0.7605633802816901,25.14739544592941,0.0017810826889556827,4.050156489621576
88,frozenset({3978011}),"frozenset({3524026, 3898011})",0.030244220794833923,0.0024387730567100607,0.0018548414797513138,0.06132879045996593,25.147395445929412,0.0017810826889556827,1.062737641044848
89,frozenset({3898011}),"frozenset({3524026, 3978011})",0.014134579054030845,0.0034864150036066363,0.0018548414797513138,0.13122721749696234,37.63958603930113,0.0018055624712676767,1.1470359167161281
90,"frozenset({3968011, 3898011})",frozenset({3690654}),0.003503589461752482,0.014031532305155772,0.001339607735375949,0.3823529411764706,27.249550003599975,0.0012904470066593657,1.5963299000773667
91,"frozenset({3968011, 3690654})",frozenset({3898011}),0.0023185518496891423,0.014134579054030845,0.001339607735375949,0.5777777777777778,40.87690022951263,0.0013068359809656485,2.3349444180299272
92,"frozenset({3898011, 3690654})",frozenset({3968011}),0.0016487479820011678,0.01636725861299076,0.001339607735375949,0.8125000000000001,49.64178908709339,0.0013126222507668893,5.246041287397386
93,frozenset({3968011}),"frozenset({3898011, 3690654})",0.01636725861299076,0.0016487479820011678,0.001339607735375949,0.08184679958027283,49.64178908709339,0.0013126222507668893,1.0873471350550319
94,frozenset({3898011}),"frozenset({3968011, 3690654})",0.014134579054030845,0.0023185518496891423,0.001339607735375949,0.09477521263669503,40.87690022951263,0.0013068359809656485,1.1021366870170548
95,frozenset({3690654}),"frozenset({3968011, 3898011})",0.014031532305155772,0.003503589461752482,0.001339607735375949,0.09547123623011017,27.24955000359997,0.0012904470066593657,1.10167465143403
96,"frozenset({3978011, 4108011})",frozenset({3898011}),0.002558994263730979,0.014134579054030845,0.000549582660667056,0.21476510067114096,15.194304680045995,0.000513412353947539,1.2555038266747813
97,"frozenset({4108011, 3898011})",frozenset({3978011}),0.000858722907292275,0.030244220794833923,0.000549582660667056,0.64,21.16106757524134,0.0005236112554573267,2.6937660533476837
98,frozenset({3978011}),"frozenset({4108011, 3898011})",0.030244220794833923,0.000858722907292275,0.000549582660667056,0.018171493469619535,21.16106757524134,0.0005236112554573267,1.0176331919955224
99,frozenset({3898011}),"frozenset({3978011, 4108011})",0.014134579054030845,0.002558994263730979,0.000549582660667056,0.03888213851761847,15.194304680045995,0.000513412353947539,1.0377926014171295
